,Age,DailyRate,Department,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
45,41,1360,Research & Development,3,Technical Degree,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,23,0,3,22,15,15,8
105,59,1420,Human Resources,4,Human Resources,140,3,Female,32,2,5,Manager,4,Married,18844,21922,9,No,21,4,4,30,3,3,3,2,2,2
106,50,1115,Research & Development,3,Life Sciences,141,1,Female,73,3,5,Research Director,2,Married,18172,9755,3,Yes,19,3,1,28,1,2,8,3,0,7
186,40,989,Research & Development,1,Medical,253,4,Female,46,3,5,Manager,3,Married,19033,6499,1,No,14,3,2,21,2,3,20,8,9,9
190,52,699,Research & Development,4,Life Sciences,259,3,Male,65,2,5,Manager,3,Married,19999,5678,0,No,14,3,1,34,5,3,33,18,11,9
231,42,532,Research & Development,2,Technical Degree,319,3,Male,58,3,5,Manager,4,Married,19232,4933,1,No,11,3,4,22,3,3,22,17,11,15
244,45,252,Research & Development,3,Other,336,3,Male,70,4,5,Manager,4,Married,19202,15970,0,No,11,3,3,25,2,3,24,0,1,7
326,39,672,Research & Development,2,Medical,444,3,Male,54,2,5,Manager,4,Married,19272,21141,1,No,15,3,1,21,2,3,21,9,13,3
329,47,1482,Research & Development,5,Life Sciences,447,4,Male,42,3,5,Research Director,3,Married,18300,16375,4,No,11,3,2,21,2,3,3,2,1,1
392,54,821,Research & Development,2,Medical,522,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,No,11,3,3,24,4,2,4,2,1,2
411,60,422,Research & Development,3,Life Sciences,549,1,Female,41,3,5,Manager,1,Married,19566,3854,5,No,11,3,4,33,5,1,29,8,11,10
477,50,1246,Human Resources,3,Medical,644,1,Male,99,3,5,Manager,2,Married,18200,7999,1,No,11,3,3,32,2,3,32,5,10,7
497,44,1315,Research & Development,4,Other,671,4,Male,35,3,5,Manager,4,Married,19513,9358,4,Yes,12,3,1,26,2,4,2,2,0,1
538,41,314,Human Resources,3,Human Resources,734,4,Male,59,2,5,Manager,3,Married,19189,19562,1,No,12,3,2,22,3,3,22,7,2,10
568,55,725,Research & Development,3,Medical,787,4,Male,78,3,5,Manager,1,Married,19859,21199,5,Yes,13,3,4,24,2,3,5,2,1,4
741,42,265,Sales,2,Marketing,1029,4,Male,90,3,5,Manager,3,Married,18303,7770,6,No,13,3,2,21,3,4,1,0,0,0
749,52,266,Sales,1,Marketing,1038,1,Female,57,1,5,Manager,4,Married,19845,25846,1,No,15,3,4,33,3,3,32,14,6,9
766,50,1464,Research & Development,4,Medical,1061,2,Male,62,3,5,Research Director,3,Married,19237,12853,2,Yes,11,3,4,29,2,2,8,1,7,7
869,46,1450,Research & Development,2,Life Sciences,1217,4,Male,52,3,5,Research Director,2,Married,19081,10849,5,No,11,3,1,25,2,3,4,2,0,3
898,43,920,Research & Development,3,Life Sciences,1255,3,Male,96,1,5,Research Director,4,Married,19740,18625,3,No,14,3,2,25,2,3,8,7,0,7
899,49,1098,Research & Development,2,Medical,1256,1,Male,85,2,5,Manager,3,Married,18711,12124,2,No,13,3,3,23,2,4,1,0,0,0
907,44,1099,Sales,3,Marketing,1267,2,Male,88,3,5,Manager,2,Married,18213,8751,7,No,11,3,3,26,5,3,22,9,3,10
916,46,168,Sales,2,Marketing,1280,4,Female,33,2,5,Manager,2,Married,18789,9946,2,No,14,3,3,26,2,3,11,4,0,8
955,55,282,Research & Development,2,Medical,1336,4,Female,58,1,5,Manager,3,Married,19187,6992,4,No,14,3,4,23,5,3,19,9,9,11
1009,58,1055,Research & Development,3,Medical,1423,4,Female,76,3,5,Research Director,1,Married,19701,22456,3,Yes,21,4,3,32,3,3,9,8,1,5
1116,55,685,Sales,5,Marketing,1578,3,Male,60,2,5,Manager,4,Married,19586,23037,1,No,21,4,3,36,3,3,36,6,2,13
1126,50,264,Sales,3,Marketing,1591,3,Male,59,3,5,Manager,3,Married,19331,19519,4,Yes,16,3,3,27,2,3,1,0,0,0
1154,47,1176,Human Resources,4,Life Sciences,1625,4,Female,98,3,5,Manager,3,Married,19658,5220,3,No,11,3,3,27,2,3,5,2,1,0
1264,55,478,Research & Development,3,Medical,1770,3,Male,60,2,5,Research Director,1,Married,19038,19805,8,No,12,3,2,34,2,3,1,0,0,0
1330,43,823,Research & Development,3,Medical,1866,1,Female,81,2,5,Manager,3,Married,19392,22539,7,No,13,3,4,21,2,3,16,12,6,14
1331,48,1224,Research & Development,3,Life Sciences,1867,4,Male,91,2,5,Research Director,2,Married,19665,13583,4,No,12,3,4,29,3,3,22,10,12,9
1377,49,1064,Research & Development,1,Life Sciences,1941,2,Male,42,3,5,Research Director,4,Married,19161,13738,3,No,15,3,4,28,3,3,5,4,4,3
1401,55,189,Human Resources,4,Human Resources,1973,3,Male,71,4,5,Manager,2,Married,19636,25811,4,Yes,18,3,1,35,0,3,10,9,1,4
1443,42,300,Research & Development,3,Life Sciences,2031,1,Male,56,3,5,Manager,3,Married,18880,17312,5,No,11,3,1,24,2,2,22,6,4,14
