,Age,DailyRate,Department,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,46,705,Sales,4,Marketing,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,22,2,2,2,2,2,1
112,54,142,Human Resources,3,Human Resources,148,4,Female,30,4,4,Manager,4,Single,17328,13871,2,Yes,12,3,3,23,3,3,5,3,4,4
123,51,684,Research & Development,3,Life Sciences,162,1,Male,51,3,5,Research Director,3,Single,19537,6462,7,No,13,3,3,23,5,3,20,18,15,15
165,50,1452,Research & Development,3,Life Sciences,226,3,Female,53,3,5,Manager,2,Single,19926,17053,3,No,15,3,2,21,5,3,5,4,4,4
187,55,692,Research & Development,4,Medical,254,3,Male,61,4,5,Research Director,2,Single,18722,13339,8,No,11,3,4,36,3,3,24,15,2,15
237,52,771,Sales,4,Life Sciences,329,1,Male,79,2,5,Manager,3,Single,19068,21030,1,Yes,18,3,4,33,2,4,33,7,15,12
270,55,452,Research & Development,3,Medical,374,4,Male,81,3,5,Manager,1,Single,19045,18938,0,Yes,14,3,3,37,2,3,36,10,4,13
290,49,636,Research & Development,4,Life Sciences,396,3,Female,35,3,5,Research Director,1,Single,18665,25594,9,Yes,11,3,4,22,4,3,3,2,1,2
300,41,334,Sales,4,Life Sciences,410,4,Male,88,3,4,Manager,2,Single,16015,15896,1,No,19,3,2,22,2,3,22,10,0,4
348,42,810,Research & Development,5,Life Sciences,468,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,No,14,3,2,16,2,3,1,0,0,0
379,55,1311,Research & Development,3,Life Sciences,505,3,Female,97,3,4,Manager,4,Single,16659,23258,2,Yes,13,3,3,30,2,3,5,4,1,2
445,55,1117,Sales,5,Life Sciences,597,1,Female,83,3,4,Manager,2,Single,16835,9873,3,No,23,4,4,37,2,3,10,9,7,7
595,58,286,Research & Development,4,Life Sciences,825,4,Male,31,3,5,Research Director,2,Single,19246,25761,7,Yes,12,3,4,40,2,3,31,15,13,8
649,53,102,Research & Development,4,Life Sciences,901,4,Female,72,3,4,Research Director,4,Single,14275,20206,6,No,18,3,3,33,0,3,12,9,3,8
710,33,722,Sales,3,Life Sciences,992,4,Male,38,3,4,Manager,3,Single,17444,20489,1,No,11,3,4,10,2,3,10,8,6,0
774,55,444,Research & Development,1,Medical,1074,3,Male,40,2,4,Manager,1,Single,16756,17323,7,No,15,3,2,31,3,4,9,7,6,2
804,48,1262,Research & Development,4,Medical,1116,1,Male,35,4,4,Manager,4,Single,16885,16154,2,No,22,4,3,27,3,2,5,4,2,1
814,40,1308,Research & Development,3,Medical,1128,3,Male,44,2,5,Research Director,3,Single,19626,17544,1,No,14,3,1,21,2,4,20,7,4,9
904,48,715,Research & Development,3,Life Sciences,1263,4,Male,76,2,5,Research Director,4,Single,18265,8733,6,No,12,3,3,25,3,4,1,0,0,0
913,45,1449,Sales,3,Marketing,1277,1,Female,94,1,5,Manager,2,Single,18824,2493,2,Yes,16,3,1,26,2,3,24,10,1,11
936,45,364,Research & Development,3,Medical,1306,2,Female,83,3,5,Manager,2,Single,18061,13035,3,No,22,4,3,22,4,3,0,0,0,0
956,56,206,Human Resources,4,Life Sciences,1338,4,Male,99,3,5,Manager,2,Single,19717,4022,6,No,14,3,1,36,4,3,7,3,7,7
1008,54,971,Research & Development,3,Medical,1422,4,Female,54,3,4,Research Director,4,Single,17328,5652,6,No,19,3,4,29,3,2,20,7,12,7
1014,31,182,Research & Development,5,Life Sciences,1430,1,Female,93,3,4,Research Director,2,Single,16422,8847,3,No,11,3,3,9,3,4,3,2,1,0
1043,53,447,Research & Development,3,Medical,1472,4,Male,39,4,4,Research Director,2,Single,16598,19764,4,No,12,3,2,35,2,2,9,8,8,8
1086,50,333,Research & Development,5,Medical,1539,3,Male,88,1,4,Research Director,4,Single,14411,24450,1,Yes,13,3,4,32,2,3,32,6,13,9
1096,40,898,Human Resources,2,Medical,1550,3,Male,38,3,4,Manager,4,Single,16437,17381,1,Yes,21,4,4,21,2,3,21,7,7,7
1129,42,1059,Research & Development,2,Other,1595,4,Male,93,2,5,Manager,4,Single,19613,26362,8,No,22,4,4,24,2,3,1,0,0,1
1135,46,563,Sales,4,Life Sciences,1602,4,Male,56,4,4,Manager,1,Single,17567,3156,1,No,15,3,2,27,5,1,26,0,0,12
1195,49,809,Research & Development,3,Life Sciences,1677,3,Male,36,3,4,Manager,3,Single,15379,22384,4,No,14,3,1,23,2,3,8,7,0,0
1225,45,1005,Research & Development,2,Technical Degree,1719,4,Female,48,2,4,Research Director,2,Single,16704,17119,1,No,11,3,3,21,2,3,21,6,8,6
1242,40,611,Sales,4,Medical,1740,2,Male,88,3,5,Manager,2,Single,19833,4349,1,No,14,3,2,21,3,2,21,8,12,8
1437,39,105,Research & Development,3,Life Sciences,2022,4,Male,87,3,5,Manager,4,Single,19431,15302,2,No,13,3,3,21,3,2,6,0,1,3
